Rank,Country/Territory,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,GrowthRate
207,Guernsey,Europe,63301,62794,61629,60782,59114,57727,52860,52656,78,811.5513,1.0037,0.0,-99.64525147742299
75,Guinea,Africa,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,245857,56.3716,1.0242,0.17,21794.34764063759
149,Guinea-Bissau,Africa,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,36125,58.2856,1.0218,0.03,-84.80760376701893
164,Guyana,South America,808726,797202,755031,747932,759051,747116,778176,705261,214969,3.7621,1.0052,0.01,-61.59104012887746
82,Haiti,North America,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,27750,417.4773,1.012,0.15,1332.4995115774686
89,Honduras,North America,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,112492,92.7431,1.015,0.13,-9.945070330624194
104,Hong Kong,Asia,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,6783.3922,0.9992,0.09,-28.218484672467568
94,Hungary,Europe,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,93028,107.1431,1.0265,0.12,33.09504177201752
179,Iceland,Europe,372899,366669,331060,318333,281462,255019,228263,204468,103000,3.6204,1.0069,0.0,-96.2587792009638
2,India,Asia,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,3287590,431.0675,1.0068,17.77,379942.0953126718
4,Indonesia,Asia,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,1904569,144.6529,1.0064,3.45,-80.55979719000791
17,Iran,Asia,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1648195,53.7258,1.0071,1.11,-67.85838852129862
35,Iraq,Asia,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,438317,101.5158,1.0221,0.56,-49.75060917168573
125,Ireland,Europe,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,70273,71.4799,1.0073,0.06,-88.7111308261875
202,Isle of Man,Europe,84519,84046,83593,83828,75562,68865,64022,55298,572,147.7605,1.003,0.0,-98.31739665613468
98,Israel,Asia,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,20770,435.1617,1.0155,0.11,10593.819141258178
25,Italy,Europe,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,301336,195.9191,0.9966,0.74,553.1915870546139
52,Ivory Coast,Africa,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,322463,87.3295,1.0248,0.35,-52.30056421451907
139,Jamaica,North America,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,10991,257.2447,0.9999,0.04,-89.95979196707222
11,Japan,Asia,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839,377930,327.9753,0.9947,1.55,4283.981761187135
195,Jersey,Europe,110778,108319,100561,96151,86192,82874,75124,68347,116,954.9828,1.0106,0.0,-99.91062808565776
83,Jordan,Asia,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,89342,126.3221,1.0123,0.14,10087.825199949448
66,Kazakhstan,Asia,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,2724900,7.1188,1.0105,0.24,71.87863867638372
27,Kenya,Africa,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,580367,93.0919,1.0193,0.68,178.5209432437306
192,Kiribati,Oceania,131232,126463,116707,107995,88826,75124,60813,57437,811,161.815,1.0183,0.0,-99.75710141765431
129,Kuwait,Asia,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,17818,239.5821,1.0044,0.05,3152.9207815167033
110,Kyrgyzstan,Asia,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,199951,33.1612,1.0158,0.08,55.32490659712763
103,Laos,Asia,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,236800,31.7968,1.0141,0.09,13.556071578794327
151,Latvia,Europe,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,64559,28.666,0.9876,0.02,-75.42124782936394
119,Lebanon,Asia,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,10452,525.2334,0.9816,0.07,196.63826404870503
147,Lesotho,Africa,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,30355,75.962,1.0107,0.03,-57.99754778870179
121,Liberia,Africa,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,111369,47.6136,1.021,0.07,129.9689265230449
107,Libya,Africa,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1759540,3.8717,1.0114,0.09,28.4697495474459
216,Liechtenstein,Europe,39327,38756,37355,35926,33026,28765,25003,21089,160,245.7937,1.0074,0.0,-99.42270946213644
141,Lithuania,Europe,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,65300,42.1142,0.9869,0.03,6892.791212144329
168,Luxembourg,Europe,647599,630399,569408,507070,435628,381267,363741,339342,2586,250.425,1.0129,0.01,-76.45141642621694
167,Macau,Asia,695168,676283,615239,557297,431896,350227,245332,247284,30,23172.2667,1.0125,0.01,7.345440619889776
50,Madagascar,Africa,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,587041,50.4423,1.0241,0.37,4159.6486029276375
62,Malawi,Africa,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,118484,172.22,1.0259,0.26,-31.090388756287457
45,Malaysia,Asia,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,330803,102.5934,1.0109,0.43,66.32047911826118
174,Maldives,Asia,523787,514438,435582,361575,282507,224957,164887,123243,300,1745.9567,1.0045,0.01,-98.45664567980744
59,Mali,Africa,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1240192,18.2178,1.0314,0.28,4213.507208082675
173,Malta,Europe,533286,515357,456579,418755,399212,365392,333587,315414,316,1687.6139,1.0124,0.01,-97.63965797378815
215,Marshall Islands,Oceania,41569,43413,49410,53416,54224,46047,31988,23969,181,229.663,0.9886,0.0,-92.20512070446252
180,Martinique,North America,367507,370391,383515,392181,432543,374271,333786,326428,1128,325.8041,0.9965,0.0,784.089104861796
126,Mauritania,Africa,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1030700,4.5951,1.0263,0.06,1188.7207590603716
157,Mauritius,Africa,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2040,636.9946,1.0004,0.02,-72.56269294461164
182,Mayotte,Africa,326101,305587,249545,211786,159215,92659,52233,35383,374,871.9278,1.0319,0.0,-74.90505737343484
10,Mexico,North America,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1964375,64.9082,1.0063,1.6,38999.58111137347
194,Micronesia,Oceania,114164,112106,109462,107588,111709,98603,76299,58989,702,162.6268,1.0091,0.0,-99.91046250464446
135,Moldova,Europe,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,33846,96.7026,1.0691,0.04,2766.9247748852526
217,Monaco,Europe,36469,36922,36760,33178,32465,30329,27076,24270,2,18234.5,0.9941,0.0,-98.88576093585203
134,Mongolia,Asia,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,1564110,2.1727,1.0151,0.04,9218.506128492692
169,Montenegro,Europe,627082,629048,633966,631044,633324,621442,589324,530268,13812,45.4012,0.9988,0.01,-81.54754373131087
230,Montserrat,North America,4390,4500,5059,4938,5138,10805,11452,11402,102,43.0392,0.9939,0.0,-99.29993206630074
40,Morocco,Africa,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,446550,83.883,1.0103,0.47,853156.7425968109
48,Mozambique,Africa,32969517,31178239,26843246,23073723,17768505,13303459,11413587,8411676,801590,41.1302,1.0278,0.41,-11.982640490591445
26,Myanmar,Asia,54179306,53423198,51483949,49390988,45538332,40099553,33465781,27284112,676578,80.0784,1.0071,0.68,64.33151265151989
145,Namibia,Africa,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,825615,3.1092,1.0146,0.03,-95.26200649377088
225,Nauru,Oceania,12668,12315,11185,10241,10377,9598,7635,6663,21,603.2381,1.0125,0.0,-99.50650795555299
49,Nepal,Asia,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,147181,207.5511,1.0171,0.38,241039.72213451215
71,Netherlands,Europe,17564014,17434557,17041107,16617116,15899135,14944548,14130387,13037686,41850,419.6897,1.0036,0.22,-42.50276453977696
185,New Caledonia,Oceania,289950,286403,283032,261426,221537,177264,148599,110982,18575,15.6097,1.0075,0.0,-98.34918145704052
123,New Zealand,Oceania,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,270467,19.1716,1.0108,0.07,1688.3386790826005
106,Nicaragua,North America,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,130373,53.2962,1.0143,0.09,34.002045788006384
54,Niger,Africa,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,1267000,20.6851,1.0378,0.33,277.18046132112295
6,Nigeria,Africa,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,923768,236.5759,1.0241,2.74,733.8728777120035
232,Niue,Oceania,1934,1942,1847,1812,2074,2533,3637,5185,260,7.4385,0.9985,0.0,-99.99911504105687
56,North Korea,Asia,26069416,25867467,25258015,24686435,23367059,20799523,17973650,14996879,120538,216.2755,1.0038,0.33,1347853.2574974145
150,North Macedonia,Europe,2093599,2111072,2107962,2093828,2037936,2044174,1907023,1656783,25713,81.4218,0.9954,0.03,-91.96913732167992
210,Northern Mariana Islands,Oceania,49551,49587,51514,54087,80338,48002,17613,10143,464,106.7909,1.0014,0.0,-97.63321438346121
120,Norway,Europe,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,323802,16.7828,1.0058,0.07,10867.12276240641
127,Oman,Asia,4576298,4543399,4191776,2881914,2344253,1804524,1017462,670693,309500,14.7861,1.0123,0.06,-15.788933259162741
5,Pakistan,Asia,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872,881912,267.4018,1.0191,2.96,5053.179753591222
222,Palau,Oceania,18055,17972,17794,18540,19726,15293,12252,11366,459,39.3355,1.0017,0.0,-99.99234389459751
122,Palestine,Asia,5250072,5019401,4484614,3992278,3139954,2124609,1453620,1118241,6220,844.063,1.0227,0.07,28978.216560509554
128,Panama,North America,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,75417,58.4561,1.0132,0.06,-16.028180184957463
93,Papua New Guinea,Oceania,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,462840,21.9139,1.0194,0.13,130.06538838687553
109,Paraguay,South America,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,406752,16.6705,1.0115,0.09,-33.146024710185806
44,Peru,South America,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,1285216,26.4933,1.0099,0.43,402.1512093658159
13,Philippines,Asia,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586,342353,337.5434,1.0147,1.45,239.3844559881312
37,Poland,Europe,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,312679,127.4698,1.0404,0.5,-65.50927067919041
92,Portugal,Europe,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,92090,111.5307,0.9981,0.13,-74.23080604493875
136,Puerto Rico,North America,3252407,3271564,3497335,3717922,3827108,3543776,3214568,2737619,8870,366.675,0.9989,0.04,-68.33366031001285
143,Qatar,Asia,2695122,2760385,2414573,1713504,645937,441675,277450,118007,11586,232.6189,1.0026,0.03,-17.134540664806096
114,Republic of the Congo,Africa,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,342000,17.4574,1.0231,0.07,121.5270403343522
161,Reunion,Africa,974052,957822,922495,890130,785424,658992,551674,473925,2511,387.914,1.0082,0.01,-83.68537979882166
64,Romania,Europe,19659267,19442038,19906079,20335211,21919876,22836234,22125224,19922618,238391,82.4665,1.0171,0.25,1918.2974830912517
9,Russia,Europe,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,17098242,8.4636,0.9973,1.81,636.1073736879407
76,Rwanda,Africa,13776698,13146362,11642959,10309031,8109989,7319962,5247532,3896367,26338,523.0731,1.0234,0.17,-90.48000655972815
228,Saint Barthelemy,North America,10967,10681,9643,8988,7082,5168,2983,2417,21,522.2381,1.0098,0.0,-99.92039456769685
211,Saint Kitts and Nevis,North America,47657,47642,47790,47403,45461,40636,43097,44968,261,182.5939,1.0011,0.0,334.54910185100755
190,Saint Lucia,North America,179857,179237,175623,170935,159500,142301,121633,103090,616,291.9756,1.0011,0.0,277.3989130662862
220,Saint Martin,North America,31791,32552,35020,36458,29610,28127,7776,5802,53,599.8302,0.9951,0.0,-82.32429096448845
229,Saint Pierre and Miquelon,North America,5862,5906,5978,6052,6274,6324,6106,5537,242,24.2231,0.9964,0.0,-81.5608190997452
199,Saint Vincent and the Grenadines,North America,103948,104632,106482,109308,113813,112487,107480,98459,389,267.2185,0.9963,0.0,1673.2514500170591
188,Samoa,Oceania,222382,214929,203571,194672,184008,168186,164905,142771,2842,78.2484,1.0165,0.0,113.93581406087661
218,San Marino,Europe,33660,34007,33570,31608,26823,23132,21346,18169,61,551.8033,0.9975,0.0,-84.86388286821776
187,Sao Tome and Principe,Africa,227380,218641,201124,182138,143714,120343,97210,77583,964,235.8714,1.0192,0.0,575.5199049316697
41,Saudi Arabia,Asia,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,2149690,16.9368,1.0128,0.46,15912.322983551763
72,Senegal,Africa,17316449,16436119,14356181,12530121,9704287,7536001,5703869,4367744,196722,88.025,1.0261,0.22,-52.43886234159745
105,Serbia,Europe,7221365,7358005,7519496,7653748,7935022,7987529,7777010,7193533,88361,81.7257,0.9897,0.09,-58.29765675399155
196,Seychelles,Africa,107118,105530,99240,92409,80060,71057,65290,54379,452,236.9867,1.0061,0.0,-98.51665163026657
102,Sierra Leone,Africa,8605718,8233969,7314773,6436698,4584067,4325388,3367477,2778557,71740,119.957,1.022,0.11,7933.867323885808
113,Singapore,Asia,5975689,5909869,5650018,5163590,4053602,3022209,2400729,2061831,710,8416.4634,1.0058,0.07,-30.561412772298603
214,Sint Maarten,North America,44175,43621,40205,33034,30489,27845,12243,6260,34,1299.2647,1.003,0.0,-99.26075470125704
116,Slovakia,Europe,5643453,5456681,5424444,5396424,5376690,5261305,4973883,4522867,49037,115.0856,1.0359,0.07,12675.219015280136
148,Slovenia,Europe,2119844,2117641,2080862,2057286,1984339,1986024,1901570,1741286,20273,104.5649,1.0002,0.03,-62.43711075470992
166,Solomon Islands,Oceania,724273,691191,612660,540394,429978,324171,233668,172833,28896,25.0648,1.0232,0.01,-65.83366511875401
70,Somalia,Africa,17597511,16537016,13763906,12026649,8721465,6999096,5892224,3720977,637657,27.5971,1.0312,0.22,2329.6792783936444
24,South Africa,Africa,59893885,58801927,55876504,51784921,46813266,39877570,29463549,22368306,1221037,49.0517,1.0084,0.75,240.3542978322332
29,South Korea,Asia,51815810,51844690,50994401,48813042,46788591,44120039,38170501,32601143,100210,517.0722,0.9997,0.65,-13.487311768137932
86,South Sudan,Africa,10913164,10606227,11194299,9714419,6114440,4750817,4192011,3342410,619745,17.6091,1.0153,0.14,-78.93854404669153
30,Spain,Europe,47558630,47363807,46431342,46572772,40741651,38889889,37491666,33792617,505992,93.9909,1.0015,0.6,335.79139835156883
61,Sri Lanka,Asia,21832143,21715079,21336697,20668557,18776371,17204094,14943645,12388769,65610,332.7563,1.0027,0.27,-54.09425586901894
32,Sudan,Africa,46874204,44440486,38171178,33739933,26298773,21090886,16673586,11305206,1886068,24.8529,1.0267,0.59,114.70271608242948
170,Suriname,South America,618040,607065,575475,546080,478998,412756,375112,379918,163820,3.7727,1.0082,0.01,-98.6814922766475
87,Sweden,Europe,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,450295,23.4276,1.0079,0.13,1606.9035984725908
101,Switzerland,Europe,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,41284,211.7157,1.0056,0.11,-17.146795910685274
60,Syria,Asia,22125249,20772595,19205178,22337563,16307654,12408996,8898954,6319199,185180,119.4797,1.0376,0.28,153.13563157687594
57,Taiwan,Asia,23893394,23821464,23512136,23083083,22194731,20586174,18100281,14957870,36193,660.1662,1.0014,0.3,7.991525880680483
95,Tajikistan,Asia,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,143100,69.5513,1.0208,0.12,-58.345026244492516
22,Tanzania,Africa,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,945087,69.3034,1.03,0.82,558.0844943230475
20,Thailand,Asia,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,513120,139.7276,1.0013,0.9,9.46487809015968
